Оригинал,Для вставки в Babel
" Corte Pelo Corto (depende de longitud, lavado y secado no incluiden)","_("" Corte Pelo Corto (depende de longitud, lavado y secado no incluiden)"")"
45 Masaje anticelulitico,"_(""45 Masaje anticelulitico"")"
Axilas (Cera),"_(""Axilas (Cera)"")"
Bikini completo (Cera),"_(""Bikini completo (Cera)"")"
Brazos (Cera),"_(""Brazos (Cera)"")"
Brushing con lavado,"_(""Brushing con lavado"")"
Camuflaje de canas masculino,"_(""Camuflaje de canas masculino"")"
"Coloración Raíces (depende de longitud, lavado y secado no incluiden) ","_(""Coloración Raíces (depende de longitud, lavado y secado no incluiden) "")"
"Coloración: técnica Air touch (lavado, secado, matiz, tratamiento no incluiden)","_(""Coloración: técnica Air touch (lavado, secado, matiz, tratamiento no incluiden)"")"
"Coloración: técnica Baby lights (lavado, secado, matiz, tratamiento no incluiden)","_(""Coloración: técnica Baby lights (lavado, secado, matiz, tratamiento no incluiden)"")"
"Coloración: técnica Balayage (lavado, secado, matiz, tratamiento no incluiden)","_(""Coloración: técnica Balayage (lavado, secado, matiz, tratamiento no incluiden)"")"
"Coloración: técnica Contouring (lavado, secado, matiz, tratamiento no incluiden)","_(""Coloración: técnica Contouring (lavado, secado, matiz, tratamiento no incluiden)"")"
"Coloración: técnica Shatush (lavado, secado, matiz, tratamiento no incluiden)","_(""Coloración: técnica Shatush (lavado, secado, matiz, tratamiento no incluiden)"")"
Corrección de cejas (cera),"_(""Corrección de cejas (cera)"")"
Corrección de cejas (pinzas),"_(""Corrección de cejas (pinzas)"")"
Corrección de cejas masculina (pinzas/cera),"_(""Corrección de cejas masculina (pinzas/cera)"")"
Corte de Flequillo (sin lavado),"_(""Corte de Flequillo (sin lavado)"")"
Corte de Puntas con lavado (sin secado),"_(""Corte de Puntas con lavado (sin secado)"")"
Corte de pelo Largo masculino,"_(""Corte de pelo Largo masculino"")"
Corte de pelo con tijeras masculino,"_(""Corte de pelo con tijeras masculino"")"
Corte de pelo masculino,"_(""Corte de pelo masculino"")"
Corte niñ@ Hasta 9 años niños/as,"_(""Corte niñ@ Hasta 9 años niños/as"")"
Diseño Frances ,"_(""Diseño Frances "")"
Diseño en todas las uña,"_(""Diseño en todas las uña"")"
Diseño en una uña,"_(""Diseño en una uña"")"
